,NAME,EXPERIENCE,QUALIFICATION,SPECIALTIES,HOSPITAL
3858,Dr. Srinath Vijayashekaran,8.0,MBBS MS - General Surgery Diploma in Urology ,CardiothoracicSurgeon,Fortis Malar Hospital
3859,Dr. Shriraam Mahadevan,23.0,MBBS MS - Orthopaedics ,Endocrinologist,Fortis Malar Hospital
3860,Dr. Shankar.M.N,4.0,MBBS Diploma in Tuberculosis and Chest Diseases (DTCD) ,ENT/Otorhinolaryngologist,Fortis Malar Hospital
3861,Dr. Manu Vergis,11.0,MBBS MS - General Surgery DNB - General Surgery MCh - Plastic & Reconstructive Surgery DNB - Plastic Surgery ,ENT/Otorhinolaryngologist,Fortis Malar Hospital
3862,Dr. Sheethal Suresh,10.0,MD - Pulmonary Medicine MBBS ,GeneralPhysician,Fortis Malar Hospital
3863,Dr. V. Jinadas,12.0,MBBS MS - General Surgery MCh - Neuro Surgery ,GeneralPhysician,Fortis Malar Hospital
3864,Dr. Ananthapadmanabhan,17.0,MBBS DM - Neurology MD - General Medicine ,GeneralPhysician,Fortis Malar Hospital
3865,Dr. Sanjiv Agrawal,14.0,MBBS DNB - Neurology ,InterventionalCardiologist,Fortis Malar Hospital
3866,Dr. Jimmy Prabhakaran,26.0,MBBS MRCP (UK) CCST - Internal Medicine ,GeneralPhysician,Fortis Malar Hospital
3867,Dr. C. M. Thiagarajan,18.0,MBBS MD - General Medicine DM - Cardiology ,Nephrologist/RenalSpecialist,Fortis Malar Hospital
3868,Dr. Nandakumar,13.0,MBBS DGO ,OralAndMaxilloFacialSurgeon,Fortis Malar Hospital
3869,Dr. Pravin K Aggarwal,16.0,MBBS Fellowship in  Emergency Medicine Post Graduate Diploma in Diabetology (PGDD) PG Diploma in Endocrinology ,GeneralPhysician,Fortis Malar Hospital
3870,Dr. Vinod Prem Anand,15.0,MBBS MD - General Medicine MRCP (UK) CCT - Rheumatology ,GeneralPhysician,Fortis Malar Hospital
3871,Dr. S. Selvapandian,7.0,MBBS DNB - Rheumatology ,Neurosurgeon,Fortis Malar Hospital
3872,Dr. Radhi Malar,10.0,MBBS Diploma in Family Medicine (DFM) Fellowship in Diabetology ,Ophthalmologist/EyeSurgeon,Fortis Malar Hospital
3873,Dr. Jaishree Gajaraj,15.0,MBBS MS - ENT ,Gynecologist,Fortis Malar Hospital
3874,Dr. R. V. Thenmozhi,15.0,MBBS MS - Ophthalmology DOMS ,Gynecologist,Fortis Malar Hospital
3875,Dr. N Rangarajan,22.0,MBBS DGO Diploma in Hospital Administration ,Psychiatrist,Fortis Malar Hospital
3876,Dr. Premalatha Balachandran,33.0,MBBS MS - General Surgery DNB - Urology/Genito - Urinary Surgery MRCS (UK) ,"Obstetrician,Gynecologist",Fortis Malar Hospital
3877,Dr. Bellarmine,10.0,MBBS DM - Cardiology FACC MD - General Medicine FSCAI FESC ,Oncologist,Fortis Malar Hospital
3878,Dr. V K Swamy,6.0,MBBS MS - Orthopaedics ,Cardiologist,Fortis Malar Hospital
3879,Dr. Vivek A N,32.0,MBBS MS - General Surgery FRCS - General Surgery ,Orthopedist,Fortis Malar Hospital
3880,Dr. Amullya Sudhakar,20.0,MBBS MS - General Surgery FRCS - Cardiothoracic Surgery ,Pediatrician,Fortis Malar Hospital
3881,Dr. K Vijayasaratha,11.0,MBBS MS - Orthopaedics ,Pulmonologist,Fortis Malar Hospital
3882,Dr. V.Purushothaman,31.0,MBBS DNB Diploma in Tuberculosis and Chest Diseases (DTCD) ,PlasticSurgeon,Fortis Malar Hospital
3883,Dr. Radha Shankar,57.0,MBBS DVD Diploma in Dermatology ,Psychiatrist,Fortis Malar Hospital
3884,Dr. M R Pari,21.0,MBBS MS - Orthopaedics FRCS - General Surgery MRCS (UK) ,"Urologist,UrologicalSurgeon",Fortis Malar Hospital
3885,Dr. B. Madan Mohan,57.0,MBBS MS - General Surgery PDCC (Endocrine Surgery) MCh - Plastic Surgery ,"InterventionalCardiologist,Cardiologist",Fortis Malar Hospital
3886,Dr. G. Prabhakaran,15.0,MBBS MS - General Surgery MCh - Plastic Surgery MRCS (UK) ,Pediatrician,Fortis Malar Hospital
3887,Dr. Vijay kumar Sohanlal,51.0,MBBS MD - Internal Medicine Fellowship in Nephrology DNB - Nephrology ,"Orthopedist,JointReplacementSurgeon",Fortis Malar Hospital
3888,Dr. Balakumar S,28.0,MBBS DGO ,VascularSurgeon,Fortis Malar Hospital
3889,Dr. G. Manohar,42.0,MBBS MS - General Surgery FICS ,Cardiologist,Fortis Malar Hospital
3890,Dr. Senthil Kumar,29.0,MBBS MD - Medicine DM - Neurology ,Orthopedist,Fortis Malar Hospital
3891,Dr. Anand M,27.0,MBBS MS - Orthopaedics Fellowship in Arthroscopy & Sports Injury ,Orthopedist,Fortis Malar Hospital
3892,Dr. Divakar D,21.0,MBBS MD - General Medicine ,GeneralPhysician,Fortis Malar Hospital
3893,Dr. Satish M Rao,17.0,DM - Clinical Immunology MBBS ,Nephrologist/RenalSpecialist,Fortis Malar Hospital
3894,Dr. Buddhan Rajarathinam,22.0,MBBS MD - General Medicine ,CriticalCareMedicine,Fortis Malar Hospital
3895,Dr. Sujay Susikar,35.0,MBBS ,GeneralPhysician,Fortis Malar Hospital
3896,Dr. Prasanna Kumar Thomas,11.0,MBBS DM - Oncology ,"Pulmonologist,GeneralPhysician",Fortis Malar Hospital
3897,Dr. V Srinivas,23.0,MBBS MS - Urology ,GeneralPhysician,Fortis Malar Hospital
3898,Dr. Vidyasagaran T,26.0,MBBS MS - Orthopaedics ,GeneralPhysician,Fortis Malar Hospital
3899,Dr. A. Karthikeyan,4.0,MBBS MD - Psychiatry ,GeneralPhysician,Fortis Malar Hospital
3900,Dr. Ramakrishnan,11.0,MBBS MS - General Surgery MCh - Neuro Surgery ,ENT/Otorhinolaryngologist,Fortis Malar Hospital
3901,Dr. Tahir Ahmed,26.0,MBBS MS - General Surgery Fellowship in Vascular & Endovascular Surgery ,"JointReplacementSurgeon,SpineSurgeon,Orthopedist",Fortis Malar Hospital
3902,Dr. Faizal Hammed,57.0,MBBS DM - Cardiology ,GeneralSurgeon,Fortis Malar Hospital
3903,Dr. Ravi Kumar,28.0,MBBS FRCS - Cardiothoracic Surgery ,Cardiologist,Fortis Malar Hospital
3904,Dr. S. K. Shriram,35.0,MBBS MD- Gastroenterology DNB - Gastroenterology ,"Orthopedist,JointReplacementSurgeon",Fortis Malar Hospital
3905,Dr. Deepika Lunawat,15.0,MBBS MS - General Surgery FRCS - General Surgery ,Dermatologist,Fortis Malar Hospital
3906,Dr. T. K. Neelamekam,17.0,MBBS MS - Orthopaedics ,"BariatricSurgeon,LaparoscopicSurgeon",Fortis Malar Hospital
3907,Dr. Govindaraj A B,25.0,MBBS Diploma in Otorhinolaryngology (DLO) DNB - ENT ,Orthopedist,Fortis Malar Hospital
3908,Dr. Lakshminarayanan,22.0,MBBS MD - Obstetrics & Gynaecology ,PediatricNeurologist,Fortis Malar Hospital
3909,Dr. Dinesh Nayak,20.0,MBBS MS - Obstetrics & Gynaecology ,Neurologist,Fortis Malar Hospital
3910,Dr. Mohan Rao,21.0,MBBS DM - Cardiology ,"GeneralSurgeon,LaparoscopicSurgeon,BariatricSurgeon",Fortis Malar Hospital
3911,Dr. S Raj Kumar,23.0,MBBS MS - General Surgery MCh - Cardio Thoracic Surgery ,"Neurosurgeon,SpineSurgeon",Fortis Malar Hospital
3912,Dr. Pramod Mangwana,31.0,MBBS MS - General Surgery ,Anesthesiologist,Mata Chanan Devi Hospital
3913,Dr. Sanjeev Kr. Nangia,19.0,MBBS MS - Orthopaedics DNB - Orthopedics/Orthopedic Surgery MRCS (UK) FRCS - Trauma & Orthopedic Surgery ,Anesthesiologist,Mata Chanan Devi Hospital
3914,Dr. Manish Gulati,13.0,MBBS MS - Orthopaedics DNB - Orthopedics/Orthopedic Surgery ,Anesthesiologist,Mata Chanan Devi Hospital
3915,Dr. Roma Sharma,17.0,MBBS MS - Orthopaedics DNB - Orthopedics/Orthopedic Surgery ,Anesthesiologist,Mata Chanan Devi Hospital
3916,Dr. Anil Kumar,25.0,MBBS MS - General Surgery MCh - Cardio Thoracic Surgery ,Anesthesiologist,Mata Chanan Devi Hospital
3917,Dr. Saket Bhardwaj,19.0,MBBS MS - General Surgery ,"Cardiologist,InterventionalCardiologist",Mata Chanan Devi Hospital
3918,Dr. Sanjay Sharma,5.0,MS - General Surgery ,Cardiologist,Mata Chanan Devi Hospital
3919,Dr. M. A. Umre,21.0,MBBS MD - Medicine FICA ,CardiacSurgeon,Mata Chanan Devi Hospital
3920,Dr. S K Jain,21.0,MBBS MD - General Medicine DM - Neurology ,CardiothoracicandVascularSurgeon,Mata Chanan Devi Hospital
3921,Dr. Minakshi Soni,21.0,MS - Neuro Surgery MCh - Neuro Surgery MBBS ,"DentalSurgeon,Dentist",Mata Chanan Devi Hospital
3922,Dr. Alka Gupta,11.0,MBBS MS - General Surgery MCh - Neuro Surgery ,Dermatologist,Mata Chanan Devi Hospital
3923,Dr. Kavita Chablani,31.0,MBBS MS - Orthopaedics DNB - Orthopedics/Orthopedic Surgery ,Dermatologist,Mata Chanan Devi Hospital
3924,Dr. Vivek Aggarwal,13.0,MBBS MD - Pediatrics ,"EndocrineSurgeon,GeneralSurgeon",Mata Chanan Devi Hospital
3925,Dr. Harish Madan,25.0,MBBS MS - General Surgery MCh - Plastic Surgery DNB - Plastic Surgery Fellowship in Micro Ear surgery Fellowship In Cosmetic And Plastic Surgery ,ENT/Otorhinolaryngologist,Mata Chanan Devi Hospital
3926,Dr. Ashwin Garg,42.0,MBBS MS - General Surgery MNAMS - Urology ,GeneralPhysician,Mata Chanan Devi Hospital
3927,Dr. S.K. Sethi,9.0,MBBS DDV MD - Dermatology ,GeneralSurgeon,Mata Chanan Devi Hospital
3928,Dr. A.J.S. Gulati,40.0,MBBS MS - ENT ,LaparoscopicSurgeon,Mata Chanan Devi Hospital
3929,Dr. Vimal Jain,37.0,MBBS MD - Internal Medicine DNB - Nephrology ,"LaparoscopicSurgeon,GeneralSurgeon",Mata Chanan Devi Hospital
3930,Dr. Atul Bhatnagar,14.0,MD - Internal Medicine DM - Cardiology ,"GeneralSurgeon,LaparoscopicSurgeon",Mata Chanan Devi Hospital
3931,Dr. Simmy Chopra,25.0,MS - Obstetrics & Gynaecology ,Gynecologist/Obstetrician,Mata Chanan Devi Hospital
3932,Dr. Jasleen Kaur Soni,17.0,BDS MDS ,Gynecologist/Obstetrician,Mata Chanan Devi Hospital
3933,Dr. Dinesh Jain,26.0,MBBS MS - General Surgery MCh - Paediatric Surgery ,InternalMedicine,Mata Chanan Devi Hospital
3934,Dr. Subhash Narang,21.0,MS - General Surgery MBBS ,Radiologist,Mata Chanan Devi Hospital
3935,Dr. Sonal Singhal,34.0,MBBS DM - Oncology MD - General Medicine ,Radiologist,Mata Chanan Devi Hospital
3936,Dr. Rajiv Seth,37.0,MBBS MD - Obstetrics & Gynaecology ,Neurosurgeon,Mata Chanan Devi Hospital
3937,Dr. Rakesh Kapoor,8.0,MBBS MD - General Medicine DM - Endocrinology ,Ophthalmologist/EyeSurgeon,Mata Chanan Devi Hospital
3938,Dr. Pankaj Varshney,45.0,MBBS MD - General Medicine ,Ophthalmologist/EyeSurgeon,Mata Chanan Devi Hospital
3939,Dr. Anup Bhasin,33.0,MBBS MRCGP Post Doctoral Fellowship in Diabetes ,Ophthalmologist/EyeSurgeon,Mata Chanan Devi Hospital
3940,Dr. Neeraj K Varma,11.0,MBBS DNB - Radiation Oncology ,Ophthalmologist/EyeSurgeon,Mata Chanan Devi Hospital
3941,Dr. Ravita Khurana,20.0,MBBS MD - Internal Medicine DM - Gastroenterology ,Ophthalmologist/EyeSurgeon,Mata Chanan Devi Hospital
3942,Dr. RK Kapoor,1.0,MBBS MS - Orthopaedics FCPS - Mid. & Gynae Diploma - SICOT ,Orthopedist,Mata Chanan Devi Hospital
3943,Dr. Gopal Goel,3.0,MBBS M.Sc Clinical Pharmacology MRCP (UK) ,Orthopedist,Mata Chanan Devi Hospital
3944,Dr. Ashoo Agarwal,50.0,MBBS MRCP (UK) ,Orthopedist,Mata Chanan Devi Hospital
3945,Dr. Jagjit Singh,16.0,MBBS MD - General Medicine Fellowship in Nephrology DM - Nephrology DNB - Nephrology ,"JointReplacementSurgeon,Orthopedist",Mata Chanan Devi Hospital
3946,Dr. Pankaj Gupta,36.0,MBBS MS - General Surgery MCh - Plastic Surgery ,Orthopedist,Mata Chanan Devi Hospital
3947,Dr. Monu Singh,16.0,MBBS DNB - General Medicine DNB - Gastroenterology ,Orthopedist,Mata Chanan Devi Hospital
3948,Dr. Anand Kushwaha,16.0,MBBS Fellowship in Nephrology ,PediatricSurgeon,Mata Chanan Devi Hospital
3949,Dr. Vijay Kakkar,18.0,MBBS MD - Pulmonary Medicine FCCP ,PlasticSurgeon,Mata Chanan Devi Hospital
3950,Dr. Rajesh Mehta,19.0,MBBS MD - Internal Medicine DM - Pulmonary Medicine & Critical Care Medicine ,Psychiatrist,Mata Chanan Devi Hospital
3951,Dr. Dinesh Suman,21.0,MBBS MD - General Medicine DM - Neurology ,Urologist,Mata Chanan Devi Hospital
3952,Dr. Pritam Pankaj,28.0,MBBS MD - Psychiatry ,"Dermatologist,Trichologist",Mata Chanan Devi Hospital
3953,Dr. K.D.Nayar,7.0,MBBS MS - Orthopaedics M.Ch - Orthopaedics ,"InfertilitySpecialist,Gynecologist,Obstetrician",Mata Chanan Devi Hospital
3954,Dr. Rajneesh Gulati,7.0,MBBS MS - General Surgery MCh - Neuro Surgery ,Gastroenterologist,Mata Chanan Devi Hospital
3955,Dr. Shri Ram Agarwal,11.0,MBBS MD - Internal Medicine ,Gastroenterologist,Mata Chanan Devi Hospital
3956,Dr. V.S Isser,46.0,MBBS Diploma in Emergency Medicine ,GeneralPhysician,Mata Chanan Devi Hospital
3957,Dr. A K Jain,11.0,MBBS DNB - General Surgery DNB - Cardiothoracic Surgery ,Orthopedist,Mata Chanan Devi Hospital
3958,Dr. Amit Baweja,38.0,MBBS MS - General Surgery MCh - Plastic Surgery ,InternalMedicine,Mata Chanan Devi Hospital
3959,Dr. Ajay K. Tiwari,14.0,MBBS MD - Nephrology DM - Nephrology ,Pediatrician,Mata Chanan Devi Hospital
3960,Dr. Ashish Kalra,21.0,MBBS MD - General Medicine DM - Nephrology ,Nephrologist/RenalSpecialist,Mata Chanan Devi Hospital
3961,Dr. Geetika Jain,10.0,MBBS MD - Rheumatology Fellowship in Rheumatology ,Gynecologist,Mata Chanan Devi Hospital
3962,Dr. Moonish Agarwal,9.0,MBBS MD - Internal Medicine DNB - Nephrology ,InternalMedicine,Mata Chanan Devi Hospital
3963,Dr Rajat Goel,33.0,MBBS ,"GeneralSurgeon,LaparoscopicSurgeon,BariatricSurgeon",Mata Chanan Devi Hospital
3964,Dr. S Chandra,14.0,MBBS MS - General Surgery MCh - Cardio Thoracic Surgery ,ENT/Otorhinolaryngologist,Mata Chanan Devi Hospital
3965,Dr. Anurag Dadu,17.0,MBBS MS - General Surgery MCh - Cardio Thoracic Surgery ,"GeneralSurgeon,LaparoscopicSurgeon",Mata Chanan Devi Hospital
3966,Dr. Jasneet Singh,10.0,MBBS MS - General Surgery MCh - Cardio Thoracic Surgery ,"Dentist,Orthodontist",Mata Chanan Devi Hospital
3967,Dr. Sudhir Chhabra,14.0,MBBS MS - ENT ,GeneralPhysician,Mata Chanan Devi Hospital
3968,Dr. Vipan Kumar Goyal,23.0,MBBS MS - Orthopaedics ,InternalMedicine,Mata Chanan Devi Hospital
3969,Dr. G S Kochhar,4.0,MBBS MS - General Surgery ,InternalMedicine,Mata Chanan Devi Hospital
3970,Dr. Vikram Kalra,14.0,MBBS FRCS - General Surgery ,Nephrologist/RenalSpecialist,Mata Chanan Devi Hospital
3971,Dr. Munish K. Aggarwal,23.0,MBBS MS - General Surgery MCh - Cardio Thoracic and Vascular Surgery ,Neurosurgeon,Mata Chanan Devi Hospital
3972,Dr. Jatin Chhabra,17.0,MBBS MRCOG ,Pediatrician,Mata Chanan Devi Hospital
3973,Dr. Deepika Gulati,24.0,MBBS MD - Pediatrics DNB - Pediatric Surgery DM - Cardiology DNB (Cardiology) ,Pediatrician,Mata Chanan Devi Hospital
3974,Dr. Davinder Singh,15.0,MBBS MD - General Medicine DNB (Cardiology) ,Pediatrician,Mata Chanan Devi Hospital
3975,Dr. V.R.Anand,13.0,MBBS Diploma in Emergency Medicine ,"PaediatricIntensivist,Pediatrician",Mata Chanan Devi Hospital
3976,Dr. Anant Gupta,28.0,MBBS MD - Anaesthesiology ,Pulmonologist,Mata Chanan Devi Hospital
3977,Dr. Indu Seth,22.0,MBBS Diploma in Emergency Medicine ,"Gynecologist,Obstetrician",Mata Chanan Devi Hospital
3978,Dr. Deepashree Sathe,16.0,MBBS DCH ,Dentist,Deenanath Mangeshkar Hospital
3979,Dr. Jayesh Rahalkar,17.0,MBBS MCh - Paediatric Surgery ,Dentist,Deenanath Mangeshkar Hospital
3980,Dr. Unmesh Karmarkar,14.0,MBBS DGO DNB - Obstetrics & Gynecology ,"Dentist,Implantologist",Deenanath Mangeshkar Hospital
3981,Dr. Megha Page,21.0,MBBS Diploma in Anesthesiology ,Dentist,Deenanath Mangeshkar Hospital
3982,Dr. Subodh Shivde,27.0,MBBS MD - Internal Medicine ,Urologist,Deenanath Mangeshkar Hospital
3983,Dr. Prakash Patwardhan,5.0,MBBS MD - Pediatrics ,Urologist,Deenanath Mangeshkar Hospital
3984,Dr. Mohit Kheur,17.0,MBBS MCh - Neuro Surgery MS - General Surgery DNB - General Surgery ,"Implantologist,Dentist",Deenanath Mangeshkar Hospital
3985,Dr. Jaydeep Date,19.0,MBBS DEMS ,Urologist,Deenanath Mangeshkar Hospital
3986,Dr. Smita Athavale,17.0,MBBS DNB - Cardiothoracic Surgery FCCP ,Dentist,Deenanath Mangeshkar Hospital
3987,Dr. Shirish Bhave,33.0,MBBS DEMS ,Urologist,Deenanath Mangeshkar Hospital
3988,Dr. Shailesh Deshmukh,14.0,MBBS DLO DNB - ENT ,"Orthodontist,Dentist",Deenanath Mangeshkar Hospital
3989,Dr. Preetam Shah,17.0,MBBS MD - Internal Medicine DM - Cardiology Fellowship In Interventional  Cardiology Fellowship In Interventional  Cardiology ,Dentist,Deenanath Mangeshkar Hospital
3990,Dr. Rahul Deshpande,27.0,MBBS DM - Cardiology ,Dentist,Deenanath Mangeshkar Hospital
3991,Dr. Rohini Mali,29.0,MBBS DNB MCh - Neuro Surgery ,Dentist,Deenanath Mangeshkar Hospital
3992,Dr. Harshal Gadhikar,17.0,MBBS ,Gastroenterologist,Deenanath Mangeshkar Hospital
3993,Dr. Sucheta Sathe,12.0,MBBS DM - Gastroenterology ,Dentist,Deenanath Mangeshkar Hospital
3994,Dr. Lalit Shimpi,16.0,MBBS MD - Internal Medicine DAA ,Gastroenterologist,Deenanath Mangeshkar Hospital
3995,Dr. Sheetal Dhadphale,17.0,MBBS MCh - Neuro Surgery ,Gastroenterologist,Deenanath Mangeshkar Hospital
3996,Dr. Amol Bapaye,8.0,MBBS MS - Orthopaedics ,GeneralSurgeon,Deenanath Mangeshkar Hospital
3997,Dr. Ajay Jog,13.0,MBBS MS - General Surgery ,Dentist,Deenanath Mangeshkar Hospital
3998,Dr. Parimal Lawate,21.0,MBBS MD - Radio Diagnosis/Radiology ,Gastroenterologist,Deenanath Mangeshkar Hospital
3999,Dr. Atul Mulay,54.0,MBBS MD - Pediatrics ,Nephrologist/RenalSpecialist,Deenanath Mangeshkar Hospital
4000,Dr. Sharad Vidhate,20.0,MBBS MS - General Surgery DNB - Peripheral Vascular Surgery ,,Deenanath Mangeshkar Hospital
4001,Dr. Girish Sarade,25.0,MBBS Diploma in Tuberculosis and Chest Diseases (DTCD) ,Ayurveda,Deenanath Mangeshkar Hospital
4002,Dr. Tushar Dighe,30.0,MBBS MS - Ophthalmology ,Nephrologist,Deenanath Mangeshkar Hospital
4003,Dr. Vaibhav Mehta,14.0,MBBS MS - General Surgery ,,Deenanath Mangeshkar Hospital
4004,Dr. Shailesh Vaidya,15.0,DNB ,,Deenanath Mangeshkar Hospital
4005,Dr. Nitin Abhyankar,12.0,MBBS Division of Clinical Psychology (DCP) MD - Pathology ,GeneralPhysician,Deenanath Mangeshkar Hospital
4006,Dr. Abhyankar Nitin,24.0,MBBS MRCOG ,Pulmonologist,Deenanath Mangeshkar Hospital
4007,Dr. Jitender Aggarwal,11.0,MCh - Vascular Surgery MBBS ,GeneralPhysician,Deenanath Mangeshkar Hospital
4008,Dr. Santnu Avanyankar,24.0,MBBS MD - Dermatology Fellow of the American Academy of Dermatology (FAAD) ,Gynecologist/Obstetrician,Deenanath Mangeshkar Hospital
4009,Dr. Aher Advay Babaji,21.0,M.Ch - Orthopaedics FRCS - Trauma & Orthopedic Surgery FRCS - General Surgery ,Gastroenterologist,Deenanath Mangeshkar Hospital
4010,Dr. Umesh S Adbe,19.0,MBBS MD - Pulmonary Medicine ,GeneralSurgeon,Deenanath Mangeshkar Hospital
4011,Dr. Pallavi Adkar,55.0,MBBS MS - General Surgery MCh - Urology/Genito-Urinary Surgery ,Cardiologist,Deenanath Mangeshkar Hospital
4012,Dr. Archana N. Javadekar,14.0,MBBS Diploma in Gynaecology & Obstetrics MD - Obstetrics & Gynaecology ,Psychiatrist,Deenanath Mangeshkar Hospital
4013,Dr. Pravin Patil,31.0,MBBS DM - Gastroenterology ,Rheumatologist,Deenanath Mangeshkar Hospital
4014,Dr. Ashutosh Sabnis,36.0,MBBS MS - Orthopaedics ,"SpineSurgeon,Orthopedist",Deenanath Mangeshkar Hospital
4015,Dr. Sumant Patil,8.0,MBBS MS - Orthopaedics ,"Pediatrician,PaediatricIntensivist",Deenanath Mangeshkar Hospital
4016,Dr. Ajay Hirakannawar,8.0,BAMS MD - Yoga and Rehab ,CardiacSurgeon,Deenanath Mangeshkar Hospital
4017,Dr. Rasik Pawaskar,23.0,MBBS ,,Deenanath Mangeshkar Hospital
4018,Dr. Sayali Arvind Kulkarni,19.0,MBBS MD - Medicine DM - Neurology ,GeneralPhysician,Deenanath Mangeshkar Hospital
4019,Dr. Shirish Ghan,12.0,MBBS MD - General Medicine Fellowship in Non-Invasive Cardiology (FIC) Certificate Course in Evidence Based Diabetes Management (CCEBDM) Certificate Course in Gestational Diabetes (CCGDM) ,ENT/Otorhinolaryngologist,Deenanath Mangeshkar Hospital
4020,Dr. Dhananjay Kulkarni,17.0,MBBS MS - ENT DNB - ENT ,Ayurveda,Deenanath Mangeshkar Hospital
4021,Dr. Suhas Date,25.0,MBBS DNB - Pulmonary Medicine ,GastroIntestinalSurgeon,Deenanath Mangeshkar Hospital
4022,Dr. Vidhya Joshi,7.0,MBBS Diploma in Tuberculosis and Chest Diseases (DTCD) FCCP ,Gynecologist/Obstetrician,Deenanath Mangeshkar Hospital
4023,Dr. Anand Shinde,51.0,MBBS DNB - Orthopedics/Orthopedic Surgery MS - Orthopaedics MNAMS - Orthopaedics ,Gynecologist,Deenanath Mangeshkar Hospital
4024,Dr. Dnyanesh Gaware,33.0,BDS ,Cardiologist,Deenanath Mangeshkar Hospital
4025,Dr. Vd. Dilip P. Gadgil,16.0,MBBS MD - Pediatrics DM - Neurology ,,Deenanath Mangeshkar Hospital
4026,Dr. Sandeep B Patil,21.0,MBBS MS - Orthopaedics FRCS - General Surgery MRCS (UK) ,"PediatricNeurologist,Pediatrician",Deenanath Mangeshkar Hospital
4027,Dr. Pushkar Waknis,26.0,MBBS MS - General Surgery MCh - Urology ,"OralAndMaxilloFacialSurgeon,DentalSurgeon",Deenanath Mangeshkar Hospital
4028,Dr. Vivek Sane,16.0,FRCS - Trauma & Orthopedic Surgery FRCS - General Surgery FRCS - General Surgery MBBS ,Ayurveda,Deenanath Mangeshkar Hospital
4029,Dr. Manish Dastane,8.0,FDSRCS - Fellowship in Dental Surgery ,Orthopedist,Deenanath Mangeshkar Hospital
4030,Dr. Atulchandra Thombare,5.0,MBBS MD - Pediatrics ,,Deenanath Mangeshkar Hospital
4031,Dr. Suchi Smitha T. Behere,35.0,MBBS MD - Medicine DM - Cardiology ,Ophthalmologist/EyeSurgeon,Deenanath Mangeshkar Hospital
4032,Dr. Jyoti Rahalkar,23.0,MBBS Diploma in Anesthesiology (Ay.) FICS (Andrology) ,,Deenanath Mangeshkar Hospital
4033,Dr. Padmaj S. Kulkarni,9.0,MBBS DGO Diploma in Reproductive Medicine and Embryology ,MedicalOncologist,Deenanath Mangeshkar Hospital
4034,Dr. Sachin Palnitkar,7.0,MBBS MD - General Medicine DM - Nephrology ,"Gastroenterologist,InternalMedicine",Deenanath Mangeshkar Hospital
4035,Dr. Girish Bapat,41.0,MBBS MS - General Surgery MCh - Plastic Surgery ,"BariatricSurgeon,GastroIntestinalSurgeon,GeneralSurgeon",Deenanath Mangeshkar Hospital
4036,Dr. Madhavi Kelapure,10.0,MBBS MD - General Medicine DM - Neurology ,Pediatrician,Deenanath Mangeshkar Hospital
4037,Dr. Anirudha Page,17.0,MBBS Diploma in Otorhinolaryngology (DLO) ,Orthopedist,Deenanath Mangeshkar Hospital
4038,Dr. Pallavi Inamdar,8.0,MBBS FRCS - Trauma & Orthopedic Surgery Fellowship in Shoulder and Knee Surgery ,Pediatrician,Deenanath Mangeshkar Hospital
4039,Dr. Abhijit Oka,17.0,MBBS MS - General Surgery MCh - Urology ,"Gynecologist,InfertilitySpecialist,Obstetrician",Deenanath Mangeshkar Hospital
4040,Dr. Anup Sunil Tamhankar,15.0,MBBS MRCPCH (UK) ,"SurgicalOncologist,GeneralSurgeon",Deenanath Mangeshkar Hospital
4041,Dr. Ashutosh Javadekar,16.0,MBBS MD - General Medicine MRCPCH (UK) CCT - Cardiology Fellowship In Interventional  Cardiology ,Dentist,Deenanath Mangeshkar Hospital
4042,Dr. Rucha Thorat,12.0,MBBS MD - Radio Diagnosis/Radiology ,Pediatrician,Deenanath Mangeshkar Hospital
4043,Dr. P.S.Jaya Prasad,14.0,MBBS MD - Pediatrics DCH ,Orthopedist,Kamineni Hospitals
4044,Dr. NSS Ganesh Kumar,9.0,Diploma in Orthopaedics DNB - Orthopedics/Orthopedic Surgery MS - Orthopaedics MBBS ,PlasticSurgeon,Kamineni Hospitals
4045,Dr. G.Satyanarayana,5.0,Master of Psychiatry - MPSY Division of Clinical Psychology (DCP) ,GeneralSurgeon,Kamineni Hospitals
4046,Dr. Y Srinivas,34.0,MBBS MD - Psychiatry DPM (Psychiatry) ,GeneralSurgeon,Kamineni Hospitals
4047,Dr. Girija K,14.0,MBBS MS - General Surgery ,Cardiologist,Kamineni Hospitals
4048,Dr. Ratna Shailaja,10.0,MD - Tuberculosis & Respiratory Diseases/Medicine Diploma in Tuberculosis and Chest Diseases (DTCD) MBBS ,Psychologist,Kamineni Hospitals
4049,Dr. Ramchandra,17.0,MBBS DMRD ,Dermatologist,Kamineni Hospitals
4050,Dr. Deepthi Konda,15.0,DNB ,Dermatologist,Kamineni Hospitals
4051,Dr. N.Bhavani,13.0,MBBS DGO ,Diabetologist,Kamineni Hospitals
4052,Dr. Kiran Meshram,16.0,MBBS MD - General Medicine ,ENT/Otorhinolaryngologist,Kamineni Hospitals
4053,Dr. M.Swamy,14.0,MBBS MD - General Medicine DNB (Cardiology) ,GeneralPhysician,Kamineni Hospitals
4054,Dr. J. Satyanarayan,23.0,MBBS MS - Orthopaedics ,GeneralPhysician,Kamineni Hospitals
4055,Dr. Y. Sainath Reddy,30.0,MBBS MS - General Surgery MCh - Plastic Surgery ,GeneralPhysician,Kamineni Hospitals
4056,Dr. B.S.Subramanayam,31.0,MBBS MD - General Medicine DM - Cardiology ,Anesthesiologist,Kamineni Hospitals
