DOC_ID,NAME,EXPERIENCE,QUALIFICATION,SPECIALTIES,HOSPITAL
3820,Dr. Prakash Vazirani,,MBBS Post Graduate Diploma in Diabetology (PGDD) PG Certificate Course In Diabetes Education(PGDCE) ,Cardiologist,Dr. Jivraj Mehta Smarak Health Foundation
3821,Dr. Prakhar Gyanesh,13.0,MS - General Surgery MBBS ,Anesthesiologist,Global Hospital
3822,Dr. Pralhad Samdani,13.0,MBBS DGO DNB - Obstetrics & Gynecology ,Pediatrician,Bhatia  Hospital
3823,Dr. Pramati Reddy,22.0,MS - General Surgery ,InternalMedicine,Apollo Hospitals
3824,Dr. Prameela Sekhar K,22.0,MBBS MS - Ophthalmology Fellowship in Ophthomology ,"Gynecologist,Obstetrician",Apollo Hospitals
3825,Dr. Pramila Bajaj,16.0,MBBS ,Pathologist,Batra Hospital & Medical Research Centre
3826,Dr. Pramila Nichani,,DNB (Cardiology) MD - General Medicine DNB - General Medicine Post Graduate Diploma in Diabetology (PGDD) MBBS ,Gynecologist,Bhagwan Mahaveer Jain Hospital - Vasanthnagar
3827,Dr. Pramod B R,12.0,M.Phil MA BA ,"Urologist,Andrologist",Apollo Hospital
3828,Dr. Pramod Chaudhary,,MBBS MD - Pathology ,Urologist,Criti Care Multi Speciality Hospital & Research Centre
3829,Dr. Pramod Jog,,,Pediatrician,Medipoint Hospital
3830,Dr. Pramod K Hatwal,,MBBS DPM (Psychiatry) MD - Psychiatry ,Acupuncturist,Rockland Hospital
3831,Dr. Pramod Krishnan,41.0,MBBS DNB - Respiratory Diseases ,Neurologist,Manipal Hospital
3832,Dr. Pramod Kumar,11.0,MBBS MCh - Neuro Surgery ,Cardiologist,Apollo Hospital
3833,Dr. Pramod Kumar Jain,17.0,MBBS MD - General Medicine DM - Cardiology ,GeneralSurgeon,Max Hospital
3834,Dr. Pramod Kumar T,,Post Graduate Diploma in Ophthalmology MBBS ,Pulmonologist,Induss Hospital
3835,Dr. Pramod M Yerne,9.0,MBBS DGO DNB - Obstetrics & Gynecology ,"Obstetrician,Gynecologist",Sir Ganga Ram Hospital
3835,Dr. Pramod M Yerne,5.0,MBBS DGO D.F.P MRCOG DNB - Obstetrics & Gynecology FMAS ,"Obstetrician,Gynecologist,LaparoscopicSurgeon(Obs&Gyn)",Sir Ganga Ram Hospital
3836,Dr. Pramod Mangwana,31.0,MBBS MS - General Surgery ,Anesthesiologist,Mata Chanan Devi Hospital
3837,Dr. Pramod Sudarshan,21.0,MBBS DNB ,SpineSurgeon,People Tree Hospitals
3838,Dr. Pramodhini Page,11.0,MBBS MD - Psychiatry ,Homoeopath,Saifee Hospital
3839,Dr. Pramoj Jindal,9.0,MBBS DNB - General Surgery MNAMS (Membership of the National Academy) ,GeneralSurgeon,Sir Ganga Ram Hospital
3840,Dr. Pranathi Gutta,19.0,MBBS MD - Pediatrics ,PediatricNeurologist,Apollo Hospitals
3841,Dr. Pranav Jadhav,,MS - General Surgery MCh - Urology/Genito-Urinary Surgery DNB MNAMS - General Surgery FRCS - General Surgery MBBS ,PediatricSurgeon,Inamdar Multispeciality Hospital
3841,Dr. Pranav Jadhav,18.0,MBBS MD - General Medicine DM - Neurology ,PediatricSurgeon,Noble Hospital
3842,Dr. Pranay Shah,26.0,MBBS DGO DNB - Obstetrics & Gynecology ,Gynecologist,Sir H.N. Reliance Foundation Hospital & Research Centre
3843,Dr. Pranjal Kodkani,51.0,MBBS MS - General Surgery MCh - Cardio Thoracic Surgery ,Orthopedist,Bombay Hospital & Medical Research Centre
3844,Dr. Pranshul Bishnoi,,BAMS ,Orthopedist,Rockland Hospital
3845,Dr. Praphul Misra,3.0,MBBS MD - Dermatology ,Cardiologist,Blk Super Speciality Hospital
3846,Dr. Prasad,,,Cardiologist,Sims Hospital (Srm Institutes For Medical Science)
3847,Dr. Prasad Dandekar,31.0,MBBS MD - General Medicine ,Oncologist,Godrej Memorial Hospital
3848,Dr. Prasad Narayanan,,BAMS MD - Ayurveda ,MedicalOncologist,Cytecare Cancer Hospitals
3849,Dr. Prasad Raj Dandekar,11.0,MBBS MD - Medicine ,Oncologist,Sir H.N. Reliance Foundation Hospital & Research Centre
3850,Dr. Prasad VSV,,,Pediatrician,Lotus Hospital for Women and Childrens
3851,Dr. Prasad Veeragandham,18.0,MBBS Diploma in Otorhinolaryngology (DLO) MS - ENT ,Orthopedist,KIMS - Krishna Institute of Medical Sciences
3852,Dr. Prasad Wagle,28.0,MBBS MRCOG ,GeneralSurgeon,Bhatia  Hospital
3852,Dr. Prasad Wagle,8.0,MBBS Diploma in Obstetrics and Gynecology (Ay.) DNB - Obstetrics & Gynecology ,Dentist,BSES MG Hospital
3853,Dr. Prasan Shankar,,,,I-AIM Health Care
3854,Dr. Prasanna Kulkarni,,,AlternativeMedicine,I-AIM Health Care
3855,Dr. Prasanna Kumar Reddy,23.0,MBBS MD - Medicine DM - Gastroenterology DNB - Gastroenterology ,GeneralPhysician,Apollo Hospital
3856,Dr. Prasanna Kumar Thomas,11.0,MBBS DM - Oncology ,"Pulmonologist,GeneralPhysician",Fortis Malar Hospital
3857,Dr. Prasanna Patankar,18.0,MBBS MD - General Medicine DNB (Cardiology) ,Neurosurgeon,BSES MG Hospital
3858,Dr. Prasanna Venkatesh M. K,,,"Urologist,UrologicalSurgeon",NU Hospitals
3859,Dr. Prasant P Patil,,,Pediatrician,Lotus Hospital for Women and Childrens
3860,Dr. Prasanta P. Borthakur,22.0,MBBS MS - Urology MCh - Urology ,CardiacSurgeon,Max Smart Super Speciality Hospital
3861,Dr. Prasanth Kumar,9.0,MBBS DM - Gastroenterology ,Radiologist,Kamineni Hospitals
3862,Dr. Prasenjit Chatterjee,,,RadiationOncologist,Apollo Gleneagles Hospitals
3862,Dr. Prasenjit Chatterjee,,,RadiationOncologist,Amri Hospitals
3863,Dr. Prashant,5.0,MBBS Fellowship in Pediatric Neurology ,Ayurveda,Noble Hospital
3864,Dr. Prashant Aggarwal,,,GeneralSurgeon,MITR Hospitals
3865,Dr. Prashant Chhajed,17.0,MBBS ,"Pulmonologist,Thoracic(Chest)Surgeon",Fortis Hospital
3865,Dr. Prashant Chhajed,31.0,BDS ,"Pulmonologist,Thoracic(Chest)Surgeon",S L Raheja Fortis Hospital
3866,Dr. Prashant Goyal,27.0,MBBS MD - Pediatrics ,"Psychiatrist,AddictionPsychiatrist",Max Hospital
3866,Dr. Prashant Goyal,14.0,MBBS MS - ENT ,"Psychiatrist,AddictionPsychiatrist",Sri Balaji Action Medical Institute
3867,Dr. Prashant Jain,16.0,MBBS MD - Internal Medicine ,PediatricSurgeon,Blk Super Speciality Hospital
3868,Dr. Prashant Kerkar,35.0,MBBS MD - Psychiatry ,Oncologist,Bombay Hospital & Medical Research Centre
3869,Dr. Prashant Kumar Pattnaik,16.0,MBBS MD - General Medicine ,Urologist,Bombay Hospital & Medical Research Centre
3870,Dr. Prashant M Mullerpatanto,13.0,PGDMLS MBBS MS - Ophthalmology FCPS - Mid. & Gynae DOMS ,,S L Raheja Fortis Hospital
3871,Dr. Prashant Mangeshikar,27.0,MBBS Diploma in Dermatology & Venerology MD - Infectious Diseases ,Gynecologist,Bombay Hospital & Medical Research Centre
3872,Dr. Prashant Parekh,,MBBS MS - Orthopaedics Fellowship in Joint Replacement ,GeneralPhysician,Holy Spirit Hospital
3873,Dr. Prashant Pawar,6.0,MBBS MS - General Surgery MCh - Cardio Thoracic and Vascular Surgery ,"HeadandNeckSurgeon,ENT/Otorhinolaryngologist",Fortis Hospital
3874,Dr. Prashant Pratap Salunkhe,28.0,MBBS MS - Orthopaedics ,GeneralPhysician,Apollo Hospital
3875,Dr. Prashant S Dixit,25.0,MBBS MD - Anaesthesiology ,Radiologist,Sri Balaji Action Medical Institute
3876,Dr. Prashant Saxena,27.0,MBBS MD - Internal Medicine DM - Medical Oncology ,Pulmonologist,Max Smart Super Speciality Hospital
3877,Dr. Prashant Upadhyay,34.0,MBBS DNB (Cardiology) ,RadiationOncologist,Apollo Hospitals
3878,Dr. Prashant Welling,20.0,MD - General Medicine DM - Nephrology MBBS ,Orthopedist,BSES MG Hospital
3879,Dr. Prashanth C,19.0,MBBS DM - Cardiology ,Urologist,Apollo Hospital
3880,Dr. Prashanth Chandra NY,,,GeneralPhysician,Aster Prime Hospitals
3881,Dr. Prashanth Inna,10.0,MBBS MS - Urology MCh - Urology/Genito-Urinary Surgery ,Orthopedist,Manipal Hospital
3882,Dr. Prashanth L K,30.0,MBBS MS - General Surgery MCh - Urology ,Neurologist,Apollo Hospital
3883,Dr. Prashanth Nippuleti,,,GeneralSurgeon,Thatha Hospital
3884,Dr. Prashanth R,,,AlternativeMedicine,I-AIM Health Care
3885,Dr. Prashanth R Reddy,,MBBS MD - Pediatrics ,ENT/Otorhinolaryngologist,BGS Global Hospital
3886,Dr. Prashanth.R,,,AlternativeMedicine,I-AIM Health Care
3887,Dr. Prashitha Panneerselvam,,MBBS ,"Gynecologist,Obstetrician",Cloudnine Hospital
3888,Dr. Prasoon Kant,,,Pulmonologist,Vivekananda Polyclinic & Institute Of Medical Sciences
3889,Dr. Prassan Vij,17.0,MBBS MRCP (UK) CCT - Endocrinology and Diabetes Mellitus ,Gynecologist,St Stephens Hospital
3890,Dr. Prasun Deb,9.0,MBBS MCh - Urology MS - General Surgery ,Endocrinologist,KIMS - Krishna Institute of Medical Sciences
3891,Dr. Pratap Chandra Rath,25.0,MBBS MCh - Surgical Oncology ,Cardiologist,Apollo Hospitals
3892,Dr. Prateek,,,,I-AIM Health Care
3893,Dr. Prateek Arora,18.0,MBBS MS - General Surgery ,PlasticSurgeon,Max Super Speciality Hospital
3894,Dr. Prateek Kumar Gupta,26.0,MBBS MS - General Surgery FICS Diploma in Orthopaedics FRCS - Trauma & Orthopedic Surgery ,Orthopedist,Sir Ganga Ram Hospital
3895,Dr. Prathama Chaudhuri,,,Psychiatrist,Amri Hospitals
3896,Dr. Prathap Kumar Pani,33.0,DNB - Orthopedics/Orthopedic Surgery MBBS MS - Orthopaedics ,Neurosurgeon,Manipal Hospital
3897,Dr. Prathima Chikalkatti,22.0,MBBS MS - ENT Diploma in Otorhinolaryngology (DLO) Diploma in Otorhinolaryngology (DLO) ,Gynecologist/Obstetrician,Bombay Hospital & Medical Research Centre
3898,Dr. Prathima Radhakrishnan,10.0,MBBS DNB - General Surgery MCh - Cardio Thoracic and Vascular Surgery ,Gynecologist,Manipal Hospital
3899,Dr. Prathyusha,7.0,MBBS M.Ch - Orthopaedics Diploma in Orthopaedics DNB - Orthopedics/Orthopedic Surgery ,"Cosmetic/AestheticDentist,Dentist",KIMS - Krishna Institute of Medical Sciences
3900,Dr. Pratibha Singhal,32.0,MBBS MD - Pulmonary Medicine DNB - Respiratory Diseases ,Pulmonologist,Bombay Hospital & Medical Research Centre
3901,Dr. Pratik Nanavati,30.0,MBBS DNB - Orthopedics/Orthopedic Surgery ,Cardiologist,Bhatia  Hospital
3902,Dr. Pratik Ranjan Sen,18.0,MBBS MS - Orthopaedics DNB - Orthopedics/Orthopedic Surgery MNAMS - Orthopaedics Fellowship in paediatric orthopaedic Fellowship in paediatric orthopaedic ,Ophthalmologist/EyeSurgeon,Apollo Hospital
3903,Dr. Pratima Chipalkatti,13.0,MBBS MD - General Medicine DNB - Internal Medicine DM - Gastroenterology ,Gynecologist/Obstetrician,Bombay Hospital & Medical Research Centre
3904,Dr. Pratima Nagpal,16.0,MBBS MS - Obstetrics & Gynaecology Fellowship in Laparoscopy Fellowship in Infertility ,Physiotherapist,People Tree Hospitals
3905,Dr. Pratit Samdani,12.0,MBBS MS - General Surgery DNB - General Surgery ,GeneralPhysician,Bhatia  Hospital
3906,Dr. Pratyusha,38.0,MBBS DNB - Ophthalmology FRCS - General Surgery ,Pediatrician,St. Philomena's Hospital
3907,Dr. Praveen Babu K H,17.0,MDS - Orthodontics & Dentofacial Orthopaedics BDS ,Orthopedist,Mallige Medical Centre
3908,Dr. Praveen C R,36.0,MBBS MD - Pediatrics ,"GeneralSurgeon,LaparoscopicSurgeon",Columbia Asia Hospital
3909,Dr. Praveen Dadireddy,18.0,MBBS MS - ENT ,Oncologist,Continental Hospitals
3910,Dr. Praveen Ganigi,18.0,MD - Obstetrics & Gynaecology DNB - Obstetrics & Gynecology DGO FCPS (Gynaecology) ,Neurosurgeon,Manipal Hospital
3911,Dr. Praveen Jain,,MD - Geriatrics ,"Neurosurgeon,SpineSurgeon",Aditya Birla Memorial Hospital
3912,Dr. Praveen Khilnani,21.0,MBBS MS - Orthopaedics ,Pediatrician,Blk Super Speciality Hospital
3913,Dr. Praveen Kumar,13.0,MBBS DNB - Paediatrics ,Pediatrician,Sir Ganga Ram Hospital
3913,Dr. Praveen Kumar,4.0,MBBS MD - Nephrology ,"Orthopedist,SportsMedicineSurgeon",Apollo Hospital
3914,Dr. Praveen Kumar B S,,,"Pulmonologist,GeneralPhysician",Brookefield Hospital
3915,Dr. Praveen Kumar Chintapanti,21.0,MD - Obstetrics & Gynaecology DGO DNB Fellowship in Robotic and Laparoscopy (FRANCE) MBBS ,"Psychiatrist,AddictionPsychiatrist,Neuropsychiatrist",Apollo Hospitals
3916,Dr. Praveen Kumar K,11.0,MBBS MD - Pediatrics ,GeneralPhysician,Apollo Hospital
3917,Dr. Praveen Kumar Kulkarni,11.0,MBBS DGO ,GeneralPhysician,KIMS - Krishna Institute of Medical Sciences
3918,Dr. Praveen Kumar Raju,,MBBS MS - Orthopaedics DNB - Orthopedics/Orthopedic Surgery ,"Dermatologist,Cosmetologist",KIMS Hospital
3919,Dr. Praveen Kumar Singa,27.0,MBBS MD - Pediatrics Fellowship in Pediatric Intensive Care ,NuclearMedicinePhysician,KIMS - Krishna Institute of Medical Sciences
3920,Dr. Praveen Kumar Yada,14.0,MBBS MS - General Surgery MCh - Cardio Thoracic and Vascular Surgery ,Neurologist,KIMS - Krishna Institute of Medical Sciences
3920,Dr. Praveen Kumar Yada,,MBBS MS - ENT FIMSA ,Neurologist,Aditya Hospital
3921,Dr. Praveen Rao,16.0,MBBS MD - Obstetrics & Gynaecology ,"Orthopedist,JointReplacementSurgeon",Yashoda Hospital
3922,Dr. Praveen Reddy,15.0,MBBS MS - General Surgery ,Orthopedist,Care Hospitals
3923,Dr. Praveen Sharma,13.0,MBBS MD - General Medicine DM - Gastroenterology ,Gastroenterologist,Sir Ganga Ram Hospital
3924,Dr. Praveen Suman Mehta,20.0,MBBS MD - Pediatrics ,Pediatrician,Sir Ganga Ram Hospital
3925,Dr. Praveen. L. Basanagoudar,,,Orthopedist,Sagar Hospital DSI
3926,Dr. Praveer Aggarwal,33.0,MBBS MD - Pediatrics ,Cardiologist,Fortis Escorts
3927,Dr. Praveer Agrawal,4.0,MBBS MD - Medicine ,Cardiologist,Fortis Escorts
3928,Dr. Praveer R Mathur,24.0,MBBS MS - General Surgery MCh - Urology ,GeneralPhysician,Continental Hospitals
3929,Dr. Pravin Amin,20.0,FRCS - General Surgery ,Emergency&CriticalCare,Bombay Hospital & Medical Research Centre
3930,Dr. Pravin Gore,8.0,MBBS MS - General Surgery MCh - Cardio Thoracic and Vascular Surgery ,GeneralSurgeon,Bhatia  Hospital
3931,Dr. Pravin K Aggarwal,16.0,MBBS Fellowship in  Emergency Medicine Post Graduate Diploma in Diabetology (PGDD) PG Diploma in Endocrinology ,GeneralPhysician,Fortis Malar Hospital
3932,Dr. Pravin Kumar,,,PlasticSurgeon,MITR Hospitals
3933,Dr. Pravin Patil,,MBBS MS - Obstetrics & Gynaecology ,Rheumatologist,Aditya Birla Memorial Hospital
3933,Dr. Pravin Patil,31.0,MBBS DM - Gastroenterology ,Rheumatologist,Deenanath Mangeshkar Hospital
3933,Dr. Pravin Patil,,MS - ENT Diploma in Otorhinolaryngology (DLO) MBBS ,Rheumatologist,Sahyadri Hospitals
3934,Dr. Pravin Rathi,17.0,MBBS FCCP ,Gastroenterologist,Bombay Hospital & Medical Research Centre
3935,Dr. Pravin bhosale,19.0,MBBS MD - Obstetrics & Gynaecology DGO ,Ear-Nose-Throat(ENT)Specialist,Noble Hospital
3936,Dr. Pravina Ushakant Shah,19.0,BDS MDS - Oral & Maxillofacial Surgery ,Neurologist,Fortis Hospital
3937,Dr. Prawal Biswas,22.0,MBBS MS - General Surgery Diploma in Urology ,"Urologist,UrologicalSurgeon",S L Raheja Fortis Hospital
3938,Dr. Preetam Shah,17.0,MBBS MD - Internal Medicine DM - Cardiology Fellowship In Interventional  Cardiology Fellowship In Interventional  Cardiology ,Dentist,Deenanath Mangeshkar Hospital
3939,Dr. Preethan KN,,MBBS MD - General Medicine DM - Neurology ,Gastroenterologist,Bangalore Institute of Gastroenterology
3940,Dr. Preeti Chauhan,26.0,MBBS Diploma in Anesthesiology FCPS - Anaesthesiology PGDMLS ,Pathologist,Sri Balaji Action Medical Institute
3941,Dr. Preeti Deshpande,,MBBS ,"Gynecologist,Obstetrician",Guru Nanak Hospital
3942,Dr. Preeti Dixit,,,,Seven Eleven Hospital
3943,Dr. Preeti Prabhakar Shetty,3.0,MBBS MD - Dermatology ,"Obstetrician,Gynecologist",Apollo Hospital
3944,Dr. Preeti Sharma,,MBBS MS - Orthopaedics DNB - Orthopedics/Orthopedic Surgery ,Pediatrician,KIMS Hospital
3945,Dr. Preetinder Kaur,23.0,MBBS DM - Oncology ,Ophthalmologist/EyeSurgeon,St Stephens Hospital
3946,Dr. Prem A.P,26.0,DNB - General Medicine MBBS ,GeneralSurgeon,Apollo Hospital
3947,Dr. Prem Agarwal,7.0,MBBS MD - Psychiatry ,Cardiologist,Sanjeevan Hospital
3948,Dr. Prem Dutt Gulati,,,InternalMedicine,Metro Hospital and Cancer Institute
3949,Dr. Prem N Sheth,23.0,MBBS ,Pediatrician,Bombay Hospital & Medical Research Centre
3950,Dr. Prem N. Sheth,31.0,MBBS MD - General Medicine DM - Gastroenterology ,Pediatrician,Bombay Hospital & Medical Research Centre
3951,Dr. Prem Nanda,24.0,BDS Fellowship in Oral implantlogy ,"Orthodontist,DentalSurgeon,Dentist",Ruby Hall Clinic
3952,Dr. Prem Prakash Varma,,MBBS MD - Pulmonary Medicine FCCP - Pulmonary Medicine ,"Nephrologist/RenalSpecialist,GeneralPhysician",Venkateshwar Hospital
3953,Dr. Prem Sagar,,,GeneralPhysician,Geetha Multi Speciality Hospital
3954,Dr. Prem Sagar Gupta,63.0,MBBS MD - General Medicine ,GeneralPhysician,Sir Ganga Ram Hospital
3955,Dr. Prem Seth,28.0,MBBS MS - Orthopaedics Diploma in Orthopaedics FCPS - Orthopedic ,Pediatrician,Bombay Hospital & Medical Research Centre
3956,Dr. Prema Keneiya,36.0,MBBS MS - Ophthalmology ,Gynecologist/Obstetrician,Bombay Hospital & Medical Research Centre
3957,Dr. Prema Rajendran,15.0,MD - Pulmonary Medicine MBBS ,Gynecologist,St.Isabel's Hospital
3958,Dr. Premalatha,27.0,MBBS MS - Orthopaedics Diploma in Orthopaedics FCPS - Orthopedic ,"Gynecologist,Obstetrician",St.Isabel's Hospital
3959,Dr. Premalatha Balachandran,33.0,MBBS MS - General Surgery DNB - Urology/Genito - Urinary Surgery MRCS (UK) ,"Obstetrician,Gynecologist",Fortis Malar Hospital
3960,Dr. Premalatha G,,MBBS DNB - Orthopedics/Orthopedic Surgery Diploma in Orthopaedics ,GeneralPhysician,Billroth Hospitals
3961,Dr. Premchand,,MBBS MS - General Surgery DNB - General Surgery Fellowship in Pediatric Neurology DNB - Urology/Genito - Urinary Surgery ,Cardiologist,MaxCure Hospitals
3962,Dr. Premkumar Balachandran,14.0,MBBS DNB ,"BariatricSurgeon,GeneralSurgeon",Apollo Hospital
3963,Dr. Premkumar K,,,GeneralPhysician,Apollo Speciality Cancer Hospital
3964,Dr. Prerna Kaushik,17.0,MBBS MS - ENT ,Dentist,Max Hospital
3965,Dr. Prerna Tomar,,,"Gynecologist,InfertilitySpecialist,Obstetrician",Jeevan Anmol Hospital
3966,Dr. Preyas Vaidya,17.0,MBBS MD - Radio Diagnosis/Radiology ,Pulmonologist,Fortis Hospital
3967,Dr. Pritam Pankaj,28.0,MBBS MD - Psychiatry ,"Dermatologist,Trichologist",Mata Chanan Devi Hospital
3968,Dr. Pritam Prakash Sulakhe,,,"InfertilitySpecialist,ReproductiveEndocrinologist(Infertilty),Gynecologist",Surya Mother & Child Super Speciality Hospital
3969,Dr. Pritesh Junagade,25.0,MBBS MD - Anaesthesiology Diploma in Anesthesiology DNB ,Hematologist,Bombay Hospital & Medical Research Centre
3970,Dr. Prithviraj T,25.0,BDS MDS ,GeneralSurgeon,Apollo Hospital
3971,Dr. Priti Challa,,,Gynecologist,Challa Hospitals
3972,Dr. Priti Mehta,13.0,DM - Cardiology MD - General Medicine ,,S L Raheja Fortis Hospital
3973,Dr. Priti gupta,24.0,MBBS MS - General Surgery DNB - Surgical Oncology ,"Gynecologist,InfertilitySpecialist",Jaipur Golden Hospital
3974,Dr. Priya B,12.0,MBBS Diploma in Otorhinolaryngology (DLO) ,GeneralPhysician,Kamakshi Memorial Hospital
3975,Dr. Priya Dahiya,,,"Gynecologist,InfertilitySpecialist",Maharaja Agrasen Hospital
3976,Dr. Priya Kalyani,,,Gynecologist,K M Speciality & Pediatric Care
3977,Dr. Priya Palimkar,,,Cardiologist,Sahyadri Speciality Hospital
3978,Dr. Priya Rajyadhyaksha,27.0,MBBS MS - General Surgery ,Homoeopath,Noble Hospital
3979,Dr. Priyadarshan K,,MBBS MS - General Surgery MRCS (UK) MCh - Surgical Oncology ,PlasticSurgeon,Sagar Hospital
3979,Dr. Priyadarshan K,,,PlasticSurgeon,Fortis Hospital
3980,Dr. Priyamvada Reddy. C,19.0,MBBS MS - Neuro Surgery MCh - Neuro Surgery Fellowship in Minimal Access Surgery ,"Gynecologist,Obstetrician",Apollo Hospitals
3981,Dr. Priyamvada Shah,,,"Gynecologist,Obstetrician,InfertilitySpecialist",Surya Mother & Child Super Speciality Hospital
3982,Dr. Priyanka Agarwal,21.0,MBBS MS - General Surgery DNB - General Surgery ,Pulmonologist,Max Super Speciality Hospital
3983,Dr. Priyanka Gulati,32.0,MBBS MD - Medicine DM - Endocrinology ,Physiotherapist,Continental Hospitals
3984,Dr. Priyanka Gupta,,MBBS MS - Orthopaedics ,"Gynecologist,InfertilitySpecialist",Inamdar Multispeciality Hospital
3985,Dr. Priyanka Madhok,23.0,MBBS MS - General Surgery ,"SpeechTherapist,Audiologist",Max Super Speciality Hospital
3986,Dr. Priyanka Mehta,,DNB (Cardiology) MD - General Medicine MBBS ,"Obstetrician,Gynecologist",Cloudnine Hospital
3987,Dr. Priyanka Pal Mantri,27.0,MBBS MS - Neuro Surgery FICS ,Dermatologist,Max Super Speciality Hospital
3987,Dr. Priyanka Pal Mantri,19.0,MBBS MD - Internal Medicine DNB - Internal Medicine ,Dermatologist,Max Super Speciality Hospital
3988,Dr. Prof K.S Gopinath,,MBBS FACP ,GeneralSurgeon,Sagar Hospital
3989,Dr. Prof Padmashree J M Hans,,MBBS MD - Psychiatry ,ENT/Otorhinolaryngologist,Venkateshwar Hospital
3990,Dr. Prof. C.V. Harinarayan,,MBBS DM - Neurology ,"Endocrinologist,Diabetologist",Sakra World Hospital
3991,Dr. Prof. Indranath Kundu,,,ENT/Otorhinolaryngologist,Apollo Gleneagles Hospitals
3992,Dr. Prof.Venugopal Reddy,37.0,MBBS DNB ,Dermatologist,Apollo Hospital
3993,Dr. Promila Chadha,58.0,MBBS MD - Obstetrics & Gynaecology ,"Obstetrician,Gynecologist",Sir Ganga Ram Hospital
3994,Dr. Puli Vanaja Reddy,,,Psychologist,Landmark Hospitals
3995,Dr. Puneet Aggarwal,,MBBS MD - General Medicine MRCP (UK) CCT - Rheumatology ,"Dermatologist,Venereologist,Cosmetologist",Kailash Deepak Memorial Hospital
3996,Dr. Puneet Ahluwalia,10.0,MBBS DCH ,Urologist,Max Smart Super Speciality Hospital
3997,Dr. Puneet Dwevedi,16.0,MBBS MS - ENT ,"Psychiatrist,Psychotherapist,Neuropsychiatrist",Fortis Hospital
3998,Dr. Puneet Girdhar,10.0,MBBS DNB ,Orthopedist,Blk Super Speciality Hospital
3999,Dr. Puneet Gupta,,,MedicalOncologist,MITR Hospitals
3999,Dr. Puneet Gupta,16.0,MBBS MD - Anaesthesiology Fellowship in Interventional Pain Management ,MedicalOncologist,Max Smart Super Speciality Hospital
3999,Dr. Puneet Gupta,,,MedicalOncologist,Metro Hospital and Cancer Institute
4000,Dr. Puneet Jain,12.0,MBBS MD - Pediatrics ,PediatricNeurologist,Fortis Hospital
4000,Dr. Puneet Jain,36.0,MBBS MD - Anaesthesiology ,Radiologist,Sri Balaji Action Medical Institute
4001,Dr. Puneet Khanna,25.0,DNB - Dermatology & Venereology MBBS DVD ,"Allergist/Immunologist,Pulmonologist",Blk Super Speciality Hospital
4002,Dr. Puneet Rajput,,MBBS MD - General Medicine DNB - General Medicine DM - Medical Oncology ESMO ,"Dermatologist,Cosmetologist",Kailash Deepak Memorial Hospital
4003,Dr. Puneeth C S,,MBBS DGO ,Neurologist,BGS Global Hospital
4004,Dr. Punit Pratap,,,"Dermatologist,PediatricDermatologist",Felix Hospital
4005,Dr. Punita Bhardwaj,27.0,MBBS DGO DNB - Obstetrics & Gynecology Fellowship in Minimal Access Surgery ,Gynecologist,Sir Ganga Ram Hospital
4006,Dr. Purandare Ameya C,16.0,MBBS MS - Orthopaedics ,"Obstetrician,Gynecologist",Masina Hospital 
4007,Dr. Purnanki J Jain,5.0,MBBS MD - Medicine ,Pediatrician,Masina Hospital 
4008,Dr. Purushotham Raju,,,Pediatrician,Omni Hospitals
4009,Dr. Purushothama K R,19.0,MBBS MS - Obstetrics & Gynaecology ,GeneralPhysician,Mallige Medical Centre
4010,Dr. Purushottam Reddy Padala,,,"Orthopedist,JointReplacementSurgeon",Challa Hospitals
4011,Dr. Purushottam T. Acharya,30.0,MCh - Paediatric Surgery MBBS MS - General Surgery ,Neurologist,Mallige Medical Centre
4012,Dr. Purvi Chhablani,17.0,MBBS DNB - General Surgery ,GeneralPhysician,Bhatia  Hospital
4013,Dr. Pushkar Bhide,,MDS ,PediatricSurgeon,Aditya Birla Memorial Hospital
4014,Dr. Pushkar Waknis,26.0,MBBS MS - General Surgery MCh - Urology ,"OralAndMaxilloFacialSurgeon,DentalSurgeon",Deenanath Mangeshkar Hospital
4014,Dr. Pushkar Waknis,8.0,MBBS MS - General Surgery MCh - Neuro Surgery ,"OralAndMaxilloFacialSurgeon,DentalSurgeon",Ruby Hall Clinic
4015,Dr. Pushpalatha Sudhakar,17.0,MBBS MS - Obstetrics & Gynaecology ,NuclearMedicinePhysician,KIMS - Krishna Institute of Medical Sciences
4016,Dr. Pushparaj S. Karmarkar,,,"GeneralSurgeon,LaparoscopicSurgeon,BariatricSurgeon",Sanjeevan Hospital
4017,Dr. Quasi Ali,,,Ear-Nose-Throat(ENT)Specialist,Prince Ali Khan Hospital
4018,Dr. Quresh Maskati,8.0,MBBS MD - Cardiology DNB (Cardiology) ,Ophthalmologist/EyeSurgeon,Saifee Hospital
4019,Dr. R Bharath,,MBBS DNB - Orthopedics/Orthopedic Surgery ,"Endocrinologist,Diabetologist",Cloudnine Hospital
4020,Dr. R Chandrasekhar Naidu,18.0,MBBS MS - General Surgery ,"Neurosurgeon,SpineSurgeon,GeneralSurgeon",KIMS - Krishna Institute of Medical Sciences
4021,Dr. R Chauhan,17.0,MBBS MS - General Surgery MCh - Burns & Plastic Surgery ,Orthopedist,Bhatia  Hospital
4022,Dr. R D Srivastava,22.0,MBBS Diploma in Anesthesiology ,Pediatrician,Sri Balaji Action Medical Institute
