,ID,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
794,794,Vijay Hospital and Diagnostic Centre,"Chanda Nagar, Hyderabad",3,20
795,795,Yogananda Multispecialty Hospital,"Padmanabhanagar, Bangalore",3,30
796,796,Rakshitha Hospital,"Dilsukhnagar, Hyderabad",3,50
797,797,Dashmesh Hospital,"Zirakpur, Chandigarh",3,10
798,798,Hope The Nursing Home,"Grant Road, Mumbai",3,18
799,799,Nandini Hospitals,"Sainikpuri, Hyderabad",3,30
800,800,V Care Hospital,"Pallikaranai, Chennai",3,10
801,801,N.D.R Medical Centre,"Yelahanka, Bangalore",3,20
802,802,Navodaya Nursing Home,"Amberpet, Hyderabad",3,20
803,803,Kumar Hospital,"Greater Noida, Noida",3,30
804,804,Bhavsar Nursing Home & ICCU,"Bhandup West, Mumbai",3,25
805,805,Shadow Hospitals,"Hayathnagar, Hyderabad",3,20
806,806,Kanaka Maternity Hospital,"HSR Layout, Bangalore",3,8
807,807,DR A S Rao Nagar Nursing Home,"AS Rao Nagar, Hyderabad",3,20
808,808,BSR ENT And Eye Hospital,"Secunderabad, Hyderabad",3,10
809,809,Alpha Superspeciality Hospital,"Wakad, Pune",3,15
810,810,Asmira Hospital,"Sakinaka, Mumbai",3,10
811,811,Sridhar Multi Speciality Hospital,"Santosh Nagar, Hyderabad",3,100
812,812,Swapna Healthcare - Miyapur,"Miyapur, Hyderabad",3,50
813,813,Dr. Agarwal's Eye Hospital,"Padmanabhanagar, Bangalore",3,2
814,814,Sri Venkateswara Ayurvedic Hospital,"Yousufguda, Hyderabad",3,10
815,815,Narayana Multispeciality Hospital,"Barasat, Kolkata",3,145
816,816,B. W. Lions Super Speciality Eye Hospital,"Kalasipalayam, Bangalore",3,25
817,817,Ramkrishna Nursing Home,"Jayanagar, Bangalore",3,10
818,818,Prakasah Netralaya,"Kothrud, Pune",3,2
819,819,Disha Eye Hospital,"Barrackpore, Kolkata",3,5
820,820,J P Nursing Home,"Nandini Layout, Bangalore",3,20
821,821,Yashada Maternity & Surgical Home  ,"Goregaon East, Mumbai",3,18
822,822,Mamatha Nursing Home,"Rajajinagar, Bangalore",3,10
823,823,Tulasi Hospitals,"Kushaiguda, Hyderabad",3,100
824,824,Prayag Hospital,"Sector 41, Noida",3,35
825,825,C T Hospital,"Dhanori, Pune",3,30
826,826,Sri Srinivasa Oncology Hospital,"Rajajinagar, Bangalore",3,10
827,827,Adarsh Hospital,"Jankipuram Extension, Lucknow",3,25
828,828,Santosh Hospital,"Frazer Town, Bangalore",3,100
829,829,Ganapati Hospital And Maternity Center,"Sector 108, Noida",3,5
830,830,Dhanraj Hospital,"Mahanagar, Lucknow",3,10
831,831,Dr. Dipti's physiotherapy centre,"Mira Road, Mumbai",3,20
832,832,Salunke Hospital,"Wadgaon Sheri, Pune",3,12
833,833,Neera Hospital,"Mahanagar, Lucknow",3,160
834,834,Choithram Hospital & Research Centre,"Manikbagh, Indore",3,200
835,835,GSN Hospital,"Ameerpet, Hyderabad",3,10
836,836,Cure Multispeciality Hospital,"Padmarao Nagar, Hyderabad",3,10
837,837,Disha Hospital,"Ghatkopar West, Mumbai",3,5
838,838,Orchid Hospital,"Lohegaon, Pune",3,60
839,839,Amrita ENT Head and Neck Hospital,"KPHB, Hyderabad",3,3
840,840,Shreya Hospital,"Kengeri, Bangalore",3,20
841,841,Santrupti Hospital And Maternity Care,"Chunabhatti, Mumbai",3,8
842,842,Mallika Hospital,"Jogeshwari West, Mumbai",3,30
843,843,Sterling Multispeciality Hospital,"Nigdi, Pune",3,200
844,844,Sangamerkar Hospital,"Wadgaon Sheri, Pune",3,30
845,845,Bhavna Maternity & Nursing Home,"Ghatkopar West, Mumbai",3,5
846,846,KKR ENT Super Speciality Hospital,"Maduravoyal, Chennai",3,5
847,847,Bhatia Global Hospital & Endosurgery Institute,"Paschim Vihar, Delhi",3,50
848,848,Dr Bharti Nursing Home,"Delhi, Delhi",3,4
849,849,Nichani Hosptial,"Royapuram, Chennai",3,50
850,850,Shreeji Hospital,"Ghatkopar West, Mumbai",3,15
851,851,Teja Hospital,"Ambattur, Chennai",3,30
852,852,Vasan Eye Care Hospital,"Saidapet, Chennai",3,10
853,853,M.M.Dental Care,"Alwarpet, Chennai",3,5
854,854,Shree  Dhanvantari Ayurveda Hospital,"Rajajinagar, Bangalore",3,6
855,855,Vasnthi Orthopedic Hospital,"Arumbakkam, Chennai",3,10
856,856,Dr Chaudhry's Moral Hospital Pvt.Ltd,"Yamuna Vihar, Delhi",3,12
857,857,Indira Maternity Home,"JM Road, Pune",3,4
858,858,Ramayya Pramila Urology & Laparoscopy Hospital,"Basheerbagh, Hyderabad",3,50
859,859,ARC International Fertility And Research Centre,"Perungudi, Chennai",3,100
860,860,Pranaam Hospital,"Madinaguda, Hyderabad",3,100
861,861,Sobti Hospital,"Matunga, Mumbai",3,7
862,862,Anand Hospital - Manali,"Manali, Chennai",3,40
863,863,Global Hospital,"Parel, Mumbai",3,200
864,864,Ayanavaram Hospital,"Ayanavaram, Chennai",3,25
865,865,Mahindru Hospital,"Delhi, Delhi",3,20
866,866,Abhaya Hospital,"Wilson Garden, Bangalore",3,100
867,867,Shrikrupa Hospital,"Sangavi, Pune",3,10
868,868,Dr. Yadav Hospital,"Nalasopara West, Mumbai",3,16
869,869,Vasan Eye Care Hospital,"Tambaram, Chennai",3,10
870,870,Shreeyash Multispeciality Hospital,"Sinhagad Road, Pune",3,20
871,871,Vasan Eye Care Hospital,"Madipakkam, Chennai",3,10
872,872,Manipal Fertility,"Rajajinagar, Bangalore",3,25
873,873,GLB Hospitals,"Anna Nagar, Chennai",3,10
874,874,Das Nursing Home,"Pozhichalur, Chennai",3,30
875,875,Netra Eye Hospital,"Uttam Nagar, Delhi",3,5
876,876,Rohan Hospital,"Mehdipatnam, Hyderabad",3,35
877,877,Aastha Hospital,"Chinchwad, Pune",3,25
878,878,Matru Seva Hospital,"Nana Peth, Pune",3,5
879,879,Dr V Seshiah & Balaji Research Institute & Diabetes Care Centre,"Aminjikarai, Chennai",3,50
880,880,Shah Accident Hospital,"Yerwada, Pune",3,40
881,881,Prakash Jyot Hospital & I.C.C.U,"Govandi, Mumbai",3,20
882,882,Nova IVI Fertility,"Raja Annamalai Puram, Chennai",3,10
883,883,Icon Hospital Maternity & Multispeciality Centre,"Hebbal Kempapura, Bangalore",3,20
884,884,Shreeji Kripa Nursing Home,"Borivali, Mumbai",3,8
885,885,A V Hospital,"Washermenpet, Chennai",3,35
886,886,Hegde Hospital ,"Chembur, Mumbai",3,14
887,887,Mercury Hospital,"Egmore, Chennai",3,30
888,888,Patients First (A Unit of Shraddha Health Care),"Koramangala 1 Block, Bangalore",3,4
889,889,Dr. Saji D'souza's KSAC Hospital,"Punjagutta, Hyderabad",3,40
890,890,Live 100 Hospital,"Singasandra, Bangalore",3,150
891,891,Vinayaka Hospital,"Hongasandra, Bangalore",3,15
892,892,Manisha's Sparshad Nursing Home,"Bhandup, Mumbai",3,15
893,893,Bethesda Hospital & Child Care Centre,"Tambaram East, Chennai",3,35
894,894,Siva Head & Neck Hospital,"Royapettah, Chennai",3,10
895,895,Orchid Hospital & Heart Centre,"Janak Puri, Delhi",3,50
896,896,RR Dental Hospital,"Vadapalani, Chennai",3,5
897,897,Balaji Nursing Home,"Thiruvanmiyur, Chennai",3,15
898,898,Hyderabad Multispeciality Hospital,"Malakpet, Hyderabad",3,60
899,899,Avantika Hospital,"Rohini, Delhi",3,8
900,900,K.C. Raju Multi Speciality Hospital,"Lingarajapuram, Bangalore",3,50
901,901,Vasan Eye Care Hospital,"Neelankarai, Chennai",3,10
902,902,Central Hospital,"Ganesh Nagar, Delhi",3,25
903,903,Asian Eye Hospital,"Dhole Patil Road, Pune",3,10
904,904,Khanna Hospital,"Janak Puri, Delhi",3,38
905,905,Endocrine and Diabetes Clinic,"Borivali West, Mumbai",3,20
906,906,Parekh Eye Hospital,"Bandra, Mumbai",3,3
907,907,Margaret Sidney Hospital,"Nanganallur, Chennai",3,10
908,908,Vijaya Health Care,"Secunderabad, Hyderabad",3,100
909,909,Ashoka Nursing Home & Multispeciality Hospital,"Krishna Nagar, Delhi",3,100
910,910,Lotus Children Hospitals,"Kukatpally, Hyderabad",3,50
911,911,S V Pooja Hospital,"Hyder Nagar, Hyderabad",3,50
912,912,Chennai National Hospital,"Parrys, Chennai",3,120
913,913,Gayathri Hospital,"Vijayanagar, Bangalore",3,15
914,914,Vasan Eye Care Hospital,"Valasaravakkam, Chennai",3,10
915,915,Gujar Hospital,"Ambegaon, Pune",3,4
916,916,Aayug Multi Specialty Hospital,"Kundalahalli, Bangalore",2,30
917,917,Maxivision Super Speciality Eye Hospital,"AS Rao Nagar, Hyderabad",2,2
918,918,Nova IVI Fertility,"Navrangpura, Ahmedabad",2,15
919,919,Le Nest Hospital,"Malad West, Mumbai",2,15
920,920,Chandrajyoti Children and General Hospital,"Ghatkopar West, Mumbai",2,18
921,921,Pratibha Maternity and ENT Hospital,"Trimulgherry, Hyderabad",2,15
922,922,Maxi Vision Super Speciality Eye Hospital,"Begumpet, Hyderabad",2,20
923,923,Gupta Hospital,"Old City, Hyderabad",2,22
924,924,Alnoor Maternity Hospital,"Erragadda, Hyderabad",2,15
925,925,Janahita Hospital,"Jeedimetla, Hyderabad",2,55
926,926,Himabindu Multispeciality Hospital,"Sagar Road, Hyderabad",2,50
927,927,Maa ENT Hospital,"Malkajgiri, Hyderabad",2,2
928,928,Uma National Hospital,"Saidabad, Hyderabad",2,10
929,929,Shree Hospital,"Mulund, Mumbai",2,20
930,930,Padmaavathi Nethralaya Hospital,"Kukatpally, Hyderabad",2,5
931,931,Mansoor Childrens Hospital,"Mallepally, Hyderabad",2,5
932,932,Anjani Women's Day Care Hospital,"HRBR Layout, Bangalore",2,5
933,933,Vraj Psychiatry Hospital,"Sabarmati, Ahmedabad",2,5
934,934,Global Animal Hospital,"Trimulgherry, Hyderabad",2,2
935,935,Seven Star Multispeciality Hospital,"Kandivali East, Mumbai",2,100
936,936,Siddhivinayak Hospital,"Kandivali East, Mumbai",2,6
937,937,Vivekananda Hospital,"Bannerghatta Road, Bangalore",2,15
938,938,Lokhande's Multispecialty Hospital,"Kalyan Nagar, Bangalore",2,15
939,939,Mamta Hospital,"Adajan Dn, Surat",2,16
940,940,Apex Multi Speciality Hospital ,"Sakinaka, Mumbai",2,18
941,941,Lifecare Hospital,"Kandivali East, Mumbai",2,18
942,942,Lion Kartar Singh Hospital,"Andheri West, Mumbai",2,20
943,943,ApoKos Rehabilitation Hospital,"Jubilee Hills, Hyderabad",2,70
944,944,Metro Hospital,"Nizampet, Hyderabad",2,50
945,945,Atlantis Hospital,"Malad West, Mumbai",2,20
946,946,Ashirwad Maternity & Nursing Home,"Bhandup West, Mumbai",2,16
947,947,Pushpaa Hospital,"Andheri West, Mumbai",2,15
948,948,Sanjeevanee Hospital,"Dadar East, Mumbai",2,15
949,949,Nikhil Hospitals,"Dilsukhnagar, Hyderabad",2,100
950,950,Shine Childrens Hospital,"LB Nagar, Hyderabad",2,50
951,951,Jeevan Hospital,"Karmanghat, Hyderabad",2,40
952,952,Fortis Medcentre,"Marathahalli, Bangalore",2,50
953,953,Rashmi Hospital,"Indiranagar, Bangalore",2,30
954,954,Apollo Spectra Hospitals,"Tardeo, Mumbai",2,50
955,955,Samartha Hospital,"Mira Road, Mumbai",2,10
956,956,Lotus Multispecialty Hospital,"Borivali West, Mumbai",2,25
957,957,Om Imaging Centre & E.N.T Hospital,"Amroli, Surat",2,5
958,958,Arogyam Hospital,"Kanjurmarg, Mumbai",2,15
959,959,Al-Hasan Children Hospital,"Nalasopara West, Mumbai",2,13
960,960,Techno Global Hospital,"Barrackpore, Kolkata",2,130
961,961,Rajendra Nagar Hospital,"Rajendranagar, Lucknow",2,13
962,962,Medox Hospital,"Jankipuram, Lucknow",2,40
963,963,Belle Vue's Cambridge Hospital,"Ulsoor, Bangalore",2,25
964,964,Lakshmi Hospital.,"Ganganagar, Bangalore",2,20
965,965,SHREEDHAR HOSPITAL,"Dadar, Mumbai",2,6
966,966,Cansure Centre,"Mulund West, Mumbai",2,17
967,967,St. Joseph's Hospital,"Gomtinagar, Lucknow",2,180
968,968,The Vein Center - Sushrut Hospital,"Andheri East, Mumbai",2,5
969,969,Dr Shah's Garbhasanskar Hospital,"Dadar, Mumbai",2,6
970,970,Devishiv Hospital,"Mahanagar, Lucknow",2,25
971,971,Gomti Hospital & Maternity Centre,"Chowk, Lucknow",2,10
972,972,Dr. Agarwal's Eye Hospital,"Himayat Nagar, Hyderabad",2,20
973,973,Nirmala Hospital,"Mahalaxmi, Mumbai",2,27
974,974,Sri Venkateswara Hospital,"Madiwala, Bangalore",2,30
975,975,Sarojini hospital,"Dasarahalli, Bangalore",2,30
976,976,Life Care Hospital,"Sector-c Sitapur Rd, Lucknow",2,10
977,977,Apollo Hospital,"Jayanagar, Bangalore",2,150
978,978,Kamath Nursing home,"Banaswadi, Bangalore",2,5
979,979,Antop Hill Hospital,"Antop Hill, Mumbai",2,10
980,980,Dr. Gujar's Maternity and Surgical Hospital,"Mulund East, Mumbai",2,8
981,981,Riddhi Vinayak Hospital,"Malad West, Mumbai",2,60
982,982,Marve Nursing Home,"Malad West, Mumbai",2,15
983,983,Ramakrishna Smart Hospitals,"Electronics City, Bangalore",2,6
984,984,Spandana Hospital For Mother And Child,"Ramamurthy Nagar, Bangalore",2,5
985,985,Sagar Hospitals,"Banashankari, Bangalore",2,415
986,986,Dr Agashe's Maternity And Surgical Nursing Home,"Kurla West, Mumbai",2,20
987,987,DNA Multispeciality Hospital ,"Kandivali East, Mumbai",2,15
988,988,Brindhavvan Areion Hospital,"Chamarajpet, Bangalore",2,110
989,989,Nova IVI Fertility,"Sadashivanagar, Bangalore",2,9
990,990,Desai Hospital & Maternity Centre,"Dadar West, Mumbai",2,10
991,991,Good Care Nursing Home,"Borabanda, Hyderabad",2,5
992,992,Sunridges Speciality Hospital,"Vileparle West, Mumbai",2,30
993,993,Noble Nursing Home,"Miyapur, Hyderabad",2,10
994,994,Bakul Parekh Children's Hospital,"Ghatkopar East, Mumbai",2,50
995,995,Mahavir Medical Research Centre,"Khar West, Mumbai",2,25
996,996,City Hospital-kurla,"Kurla West, Mumbai",2,50
997,997,Belle Vue Nursing Home,"Andheri West, Mumbai",2,25
998,998,Prime Hospital,"Goregaon East, Mumbai",2,10
999,999,Shree Sumangal Poly Clinic & Hospital,"Durgapura, Jaipur",2,10
1000,1000,Sneh Nursing Home,"Andheri, Mumbai",2,4
1001,1001,Jain Hospital,"Goregaon West, Mumbai",2,5
1002,1002,Chandrabhan Hospital And Maternity Center,"Sodala, Jaipur",2,15
1003,1003,Narayana Multispeciality Hospital,"HSR Layout, Bangalore",2,90
1004,1004,Devasya Kidney Hospital,"Nava Vadaj, Ahmedabad",2,50
1005,1005,Goyal General Hospital,"Sodala, Jaipur",2,25
1006,1006,Riddhi Nursing Home,"Borivali West, Mumbai",2,8
1007,1007,Monilek Hospital and Research Centre,"Jawahar Nagar, Jaipur",2,100
1008,1008,K.M.S. Hospital,"Tilak Nagar, Jaipur",2,34
1009,1009,Om Mother N Child Hospital,"Murlipura, Jaipur",2,25
1010,1010, Nagher Samaj Hospital,"Ghatkopar West, Mumbai",2,15
1011,1011,Sri Vinayaka Nursing Home,"HAL 2nd Stage, Bangalore",2,3
1012,1012,Durga Nursing Home,"Andheri East, Mumbai",2,16
1013,1013,Anand Hospital,"Mira Road, Mumbai",2,15
1014,1014,Genesis Hospital,"Kasba, Kolkata",2,5
1015,1015,EEDF Hospital,"Jodhpur Park, Kolkata",2,130
1016,1016,Universal Eye Clinic,"Wadala, Mumbai",2,2
1017,1017,Shree Samarth Nursing Home,"Matunga, Mumbai",2,18
1018,1018,Sanket Hospital,"Borivali West, Mumbai",2,9
1019,1019,Narayana Hrudhayalaya Multispeciality Hospital,"Whitefield, Bangalore",2,150
1020,1020,Ozone Hospital,"Sangavi, Pune",2,25
1021,1021,"MANKINDD - The Gastro, Liver & Pancreas Centre","Himayat Nagar, Hyderabad",2,25
1022,1022,Aries Maternity Hospital,"Mehdipatnam, Hyderabad",2,35
1023,1023,Mayur Hospital,"Chinchwad, Pune",2,15
1024,1024,Surekha Hospital,"Kompally, Hyderabad",2,50
1025,1025,N.N. Hospital,"Tambaram West, Chennai",2,4
1026,1026,Swaram Hospital Kelambakkam,"Kelambakkam, Chennai",2,20
1027,1027,Hedge Fertility Hospital,"Moosarambagh, Hyderabad",2,25
1028,1028,Narayana Hospital,"Purasawakkam, Chennai",2,50
1029,1029,Krishna Eye And Ent Hospital,"T Nagar, Chennai",2,50
1030,1030,Arokya Hospital,"Nesapakkam, Chennai",2,10
1031,1031,Appasamy Krishna Hospital,"Velachery, Chennai",2,10
1032,1032,Kataria Hospital,"Yerwada, Pune",2,20
1033,1033,MV Hospital for Diabetes,"Adyar, Chennai",2,10
1034,1034,Nirmals' Eye Hospital,"Tambaram West, Chennai",2,21
1035,1035,Rohit Hospital,"Thiruvottiyur, Chennai",2,30
1036,1036,C M Hospital,"Medavakkam, Chennai",2,8
1037,1037,Rahman Hospital,"Delhi, Delhi",2,2
1038,1038,Swaram Hospital Navalur,"Navalur Place, Chennai",2,30
1039,1039,Mantri Hospital,"Erandwane, Pune",2,10
1040,1040,Bharti Children & Cardio Diabetic Hospital,"Pimple Saudagar, Pune",2,15
1041,1041,Kohakade Hospital,"Wagholi, Pune",2,51
1042,1042,Sunil Wankhede Memorial Hospital,"Dehu Road, Pune",2,15
1043,1043,Vinayak Hospital,"Warje, Pune",2,20
1044,1044,Muskaan Hospital,"Shahdara, Delhi",2,16
1045,1045,Eye7 Chaudhary Eye Centre,"Lajpat Nagar, Delhi",2,10
1046,1046,N.S.Hospital,"Tambaram, Chennai",2,15
1047,1047,Dr. Karne Accident And Orthopedic Hospital,"Swargate, Pune",2,23
1048,1048,Dr. Batra's Diagnostic Centre at Neptune Hospital,"Malviya Nagar, Delhi",2,10
1049,1049,Indo-us Superspeciality Hospital,"Ameerpet, Hyderabad",2,50
1050,1050,Aakash Fertility Centre & Hospital,"Vadapalani, Chennai",2,50
1051,1051,Pallava Hospital,"Ashok Nagar, Chennai",2,30
1052,1052,Nethra Eye Institute(A Unit OfS owrya Hospitals),"Ameerpet, Hyderabad",2,10
1053,1053,Chaitaya hospital,"Vanasthalipuram, Hyderabad",2,10
1054,1054,Geeta Clinic & Maternity Home,"Barkatpura, Hyderabad",2,20
1055,1055,K L Hospital,"Ramamurthy Nagar, Bangalore",2,55
1056,1056,Happy Children's Hospital,"Chanda Nagar, Hyderabad",2,50
1057,1057,Sakhi Maternity & General Care,"Vanasthalipuram, Hyderabad",2,15
1058,1058,V CareMulti Speciality Hospital,"Ameerpet, Hyderabad",2,50
1059,1059,Shenoy Nursing Home,"East Marredpally, Hyderabad",2,20
1060,1060,Shilpa Nursing Home,"Miyapur, Hyderabad",2,15
1061,1061,B. V. K. Reddy  Hospital,"Warasiguda, Hyderabad",2,10
1062,1062,Advanced Endocrine & Diabetes Hospital & Research Center,"KPHB, Hyderabad",2,15
1063,1063,Lakshmi Sailaja Hospital,"Suchitra Circle, Hyderabad",2,30
1064,1064,Shree Hospital,"Baghlingampally, Hyderabad",2,10
1065,1065,Jawahar Hospital,"Tambaram, Chennai",2,15
1066,1066,Redefine Plastic and Cosmetic Surgery Center,"Kothapet, Hyderabad",2,5
1067,1067,VCare Hospital,"Zirakpur, Chandigarh",2,15
1068,1068,Orient Eye Hospital,"Mehdipatnam, Hyderabad",2,5
1069,1069,Pune City Eye Clinic,"Camp, Pune",2,1
1070,1070,Shilp Hospital,"Paldi, Ahmedabad",2,10
1071,1071,Sangeeta Nursing Home,"Sector 21, Chandigarh",2,7
1072,1072,Sterling Super Speciality Hospitals,"Trimulgherry, Hyderabad",2,150
1073,1073,"Lakshmi Hospital for Women, Children & Multispeciality","Madinaguda, Hyderabad",2,50
1074,1074,SMS ENT And Surgical Hospital,"Himayat Nagar, Hyderabad",2,15
1075,1075,Jaya Bhushan Hospitals,"Mehdipatnam, Hyderabad",2,25
1076,1076,Ameya Clinic,"Erandwane, Pune",2,20
1077,1077,Care Medical Centre,"Pahar Ganj, Delhi",2,5
1078,1078,Avm Medical ENT Research Foundation Hospital,"Mylapore, Chennai",2,25
1079,1079,KSAC Hospital,"Koramangala 6 Block, Bangalore",2,4
1080,1080,Maharishi Ayurveda Hospital,"Shalimar Bagh, Delhi",2,49
1081,1081,Parnami Orthopaedic Hospital,"Azadpur, Delhi",2,2
1082,1082,Indigo Womens Center,"Anna Nagar, Chennai",2,6
1083,1083,GMR Hospital,"Mogappair West, Chennai",2,35
1084,1084,Delhi E.N.T. Multi- Speciality Hospital,"Jasola, Delhi",2,10
1085,1085,The Specialists Clinic And Hospital,"KK Nagar, Chennai",2,10
1086,1086,Nalamm Hospital PVT. Limited,"MKB Nagar, Chennai",2,25
1087,1087,Adiva Super-Speciality Care,"Green Park, Delhi",2,50
1088,1088,K L Hospital,"Neelangarai, Chennai",2,30
1089,1089,Vasan Eye Care Hospital,"Mogappair West, Chennai",2,10
1090,1090,Dr. More's Children Hospital,"Pimple Gurav, Pune",2,15
1091,1091,People's Nursing Home,"Aminjikarai, Chennai",2,10
1092,1092,Dr Pagare Speciality Hospital & Critical Care Center,"Sangvi, Pune",2,8
1093,1093,Vasan Eye Care Hospital,"Alwarpet, Chennai",2,10
1094,1094,Pataskar Hospital,"Bhosari, Pune",2,25
1095,1095,Sanjeevani Hospital,"Chinchwad, Pune",2,5
1096,1096,CM Patel Hospital,"Shahdara, Delhi",2,25
1097,1097,Shanti Mukand Hospital,"Vikas Nagar, Delhi",2,70
1098,1098,Vasan Eye Care Hospital,"Washermenpet, Chennai",2,10
1099,1099,Dr. Mhaske Hospital & Research Center Pvt. Ltd.,"Hadapsar, Pune",2,22
1100,1100,SKS Veterinary Hospital,"Abhiramapuram, Chennai",2,2
1101,1101,Krushna General Hospital,"Bhosari, Pune",2,16
1102,1102,Todkar Hospital,"Bhavani Peth, Pune",2,15
1103,1103,HV Desai Eye Hospital,"Hadapsar, Pune",2,250
1104,1104,Colony Nursing Home,"Navi Peth, Pune",2,100
1105,1105,Apollo Spectra Hospitals,"Sadashiv Peth, Pune",2,35
1106,1106,Navjeevan Hospital - Pitampura,"Pitampura, Delhi",2,25
1107,1107,Family Hospital Pvt. Ltd.,"Tilak Nagar, Delhi",2,3
1108,1108,Aashara Hospital,"Anna Nagar West, Chennai",2,12
1109,1109,Apollo Spectra Hospitals,"Karol Bagh, Delhi",2,25
1110,1110,S. D. Hospital,"Delhi, Delhi",2,5
1111,1111,CP Vet Hospital,"Delhi, Delhi",2,2
1112,1112,Kesar Hospital,"Shalimar Bagh, Delhi",2,20
1113,1113,Swasthik Hospital,"Tilak Nagar, Delhi",2,20
1114,1114,Suman Hospital,"Thiruvottiyur, Chennai",2,5
1115,1115,Centre for Sight - Rajouri Garden,"Rajouri Garden, Delhi",2,4
1116,1116,SCI International Hospital,"Greater Kailash Part 1, Delhi",2,49
1117,1117,Hiba Hospital,"Triplicane, Chennai",2,15
1118,1118,Tarak Hospital,"Dwarka, Delhi",2,75
1119,1119,Spot Hospital,"Kodambakkam, Chennai",2,30
1120,1120,Chennai Meenakshi Multispeciality Hospital,"Mylapore, Chennai",2,100
1121,1121,K.P Hospital,"Adambakkam, Chennai",2,35
1122,1122,Laser and Laparoscopic Hospital,"T Nagar, Chennai",2,50
1123,1123,Eswar Medical Foundation,"Kolathur, Chennai",2,35
1124,1124,Prachiti Hospital & Research Centre,"Sinhagad Road, Pune",2,10
1125,1125,Jeevan Jyoti Hospital,"Okhla, Delhi",2,5
1126,1126,Astha Hospital,"Chikhali, Pune",2,30
1127,1127,RG Stone Urology & Laparoscopy Hospital,"Greater Kailash, Delhi",2,55
1128,1128,Paul Nursing Home & Child Care Center,"Hari Nagar, Delhi",2,8
1129,1129,Sanchet Hospital ,"Paschim Vihar, Delhi",2,20
1130,1130,Kaushal Hospital,"Pimpri, Pune",2,20
1131,1131,Tongaonkar Hospital,"Akurdi, Pune",2,20
1132,1132,Chellam Hospital,"Madambakkam, Chennai",2,30
1133,1133,MJM Hospital,"Shivaji Nagar, Pune",2,100
1134,1134,Prashanthi Ortho & Maternity Hospital,"Malkajgiri, Hyderabad",2,20
1135,1135,World Gastroenterology Institute,"Andheri West, Mumbai",2,30
1136,1136,Bagavathi Multi Speciality Hospital,"HSR Layout, Bangalore",2,40
1137,1137,Sowmya Childrens Hospital,"SR Nagar, Hyderabad",2,25
1138,1138,Mother Hospital & Maternity Home,"Mota Varachha, Surat",2,20
1139,1139,Bengaluru Smiles Hospital,"Mathikere - BEL, Bangalore",2,50
1140,1140,Swetha Hospital,"Khairatabad, Hyderabad",2,12
1141,1141,Unity Hospital,"Rajarajeshwarinagar, Bangalore",2,5
1142,1142,Shri Vijayalakshmi Hospital & Trauma Centre,"Hennur, Bangalore",2,15
1143,1143,Indo US Diabetes Research Center & Multi Specialty Hospital,"Malakpet, Hyderabad",2,140
1144,1144,Vinayak Hospital,"Sector 27, Noida",2,50
1145,1145,Rhythm Healthcare,"Pimple Saudagar, Pune",2,6
1146,1146,Harsh Hospital,"Market Yard, Pune",2,15
1147,1147,Abhinav Orthopaedic Hospital,"Dilsukhnagar, Hyderabad",2,50
1148,1148,Narayana Nethralaya,"Bannerghatta Road, Bangalore",2,21
1149,1149,Sigma Hospitals,"Dilsukhnagar, Hyderabad",2,50
1150,1150,M.V. Centre For Diabetes,"Koramangala, Bangalore",2,1
1151,1151,Hope Hospital,"Munnekollal, Bangalore",2,20
1152,1152,Beams Hospital,"Koramangala, Bangalore",2,8
1153,1153,Vatsalya Hospital,"Parvat, Surat",2,24
1154,1154,Shreyas Hospital ,"Ecil, Hyderabad",2,50
1155,1155,Mohammedi Memorial Hospital,"Attapur, Hyderabad",2,20
1156,1156,Madhuram Multispeciality Hospital & ICU,"Palanpur Nd, Surat",2,18
1157,1157,M M Hospital & Maternity Centre,"Mehdipatnam, Hyderabad",2,30
1158,1158,Rvushi Children Hospital,"Laldarwaja, Surat",2,40
1159,1159,Saicharan Hospital,"Ramanthapur, Hyderabad",2,10
1160,1160,Satya Medical Centre,"Sector 34, Noida",2,50
1161,1161,Add Life Hospitals,"Kukatpally, Hyderabad",2,15
1162,1162,Galaxy Hospital,"Pimple Saudagar, Pune",2,10
1163,1163,Kishan Rao Hospital,"Tilak Nagar, Hyderabad",2,15
1164,1164,Shankar Nursing Home,"KR Puram, Bangalore",2,5
1165,1165,AIMS Hospital,"Greater Noida, Noida",2,50
1166,1166,Asha Nursing Home,"Banaswadi, Bangalore",2,16
1167,1167,Republic Hospital,"Richmond Town, Bangalore",2,70
1168,1168,Sharma Medicare Hospital,"Greater Noida, Noida",2,120
1169,1169,Shrinivas Hospital,"Kankarbagh, Patna",2,50
1170,1170,Kidney & Urology Super-Speciality Clinic,"Rasta Peth, Pune",2,8
1171,1171,Win Vision Eye Hospitals,"Begumpet, Hyderabad",2,10
1172,1172,Susheela Hospital,"Ramanthapur, Hyderabad",2,10
1173,1173,Birthright By Rainbow,"Banjara Hills, Hyderabad",2,150
1174,1174,Medstar Speciality Hospital,"Sahakaranagar, Bangalore",2,35
1175,1175,Spurthy Hospital,"BTM Layout, Bangalore",2,15
1176,1176,Foram Hospital,"Rander, Surat",2,16
1177,1177,Aamanya Hospital,"Adajan Dn, Surat",2,15
1178,1178,Githa Nature Cure & Yoga Hospital,"Kothapet, Hyderabad",2,5
1179,1179,Divyadristhi Eye Hospital,"Vijayanagar, Bangalore",2,5
1180,1180,Hiremath Hospital,"Chinchwad, Pune",2,15
